"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone"
"131",31,9,8292023,0.527397260273973,1.75586854460094,0,3,48.2662851184705,NA,48.2662851184705,NA,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,100,100,0,1.81615865813783,2.59624494261132,53.3063067694486,53.3063067694486,0,1.33994424027402,0.848032185427791,21.578947368421,21.578947368421,0,0.522035138115347,-1.22970975613686,83.9722003183595,83.9722003183595,0,1.50463111159592,2.79820045949758
"132",31,24,9132023,0.527397260273973,1.75586854460094,0,2,57.2860351725068,18.6874751845872,52.7761601454886,9.34373759229361,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,63.398129073099,81.6990645365495,-22.4004222903474,1.15141061025849,1.53894515156625,50.8010371855591,52.0536719775039,-2.4064292572599,1.2769700491753,0.769483802228315,33.3333333333333,27.4561403508771,21.4057507987221,0.806395741804196,-0.863907752158654,67.9162917531827,75.9442460357711,-10.5708525683527,1.21693804817118,2.00056547052174
"133",31,30,9192023,0.527397260273973,1.75586854460094,1,2,61.7152744053742,7.73179575009778,55.7558648987838,5.64592942169533,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,39.8825183590334,67.7602158107108,-41.1416892908874,0.724329810260996,0.733656161029627,51.4941403536361,51.8671614362146,-0.719185458099994,1.29439237036512,0.757788373071996,27.6793248945147,27.5305351987563,0.540453335484334,0.669614691928547,-0.859277347045007,79.8924980155232,77.2603300290218,3.4068816241306,1.43153016881218,2.13132787953602
"134",31,47,10062023,0.527397260273973,1.75586854460094,0,3,51.2195014430507,-17.0067670660953,56.7402703403106,1.76556393361267,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,30.3189194549166,44.5331889623497,-31.9183733270268,0.550639680734303,-0.608238666282119,27.1807517027588,43.1586430806513,-37.021301499295,0.683234196808092,0.211707391375432,22.0430107526881,27.685222993512,-20.3798692253487,0.533261700225354,-0.849649433603757,68.6268787674823,72.1452228453961,-4.8767526651812,1.22967049206521,1.62310519684455
"135",31,54,10132023,0.527397260273973,1.75586854460094,1,3,65.8655911686824,28.5947526098359,59.6001223390358,5.04025092156364,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,38.5929163902049,36.2647847347183,6.41981380150797,0.700908592448601,-1.08592911438026,47.2560285436711,41.9769735333553,12.5760734182539,1.18786025712079,0.137608992534014,22.8970331588132,24.206456268672,-5.40939613516851,0.553922101176494,-1.06617113760732,90.2680082444044,79.5957950091366,13.4080113579401,1.6174406895544,2.36337312021554
"212",31,61,10202023,0.527397260273973,1.75586854460094,1,NA,NA,NA,58.5425463058666,-1.77445278912884,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,NA,34.4559179225608,NA,NA,-1.19043276154857,NA,37.218390123215,NA,NA,-0.160785268578658,NA,22.4700219557507,NA,NA,-1.17424843800212,NA,79.4474435059433,NA,NA,2.34863333154101
"136",31,65,10242023,0.527397260273973,1.75586854460094,1,3,62.8573045366407,NA,64.3614478526615,9.93961129806866,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,71.7927138306652,55.192815110435,30.0761950391831,1.30386958814774,0.00759982577189409,53.8160581800423,50.5360433618567,6.49044642197151,1.35275770472112,0.674318575441606,26.9958847736625,24.9464589662378,8.21529745042498,0.653080995831546,-1.02011267559545,73.7989110220002,82.0334596332023,-10.0380364890392,1.32234402700679,2.60557263046443
"137",31,87,11152023,0.527397260273973,1.75586854460094,1,4,55.4402093473913,-11.7998938133369,59.148756942016,-8.09908894930178,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,29.5380077261395,50.6653607784024,-41.6997979046643,0.536457084759704,-0.253964755382129,41.9913445637769,47.9037013719096,-12.3421711450457,1.05552351493693,0.509253539193149,55.7112526539278,41.3535687137951,34.7193347193348,1.34775950732115,0.00108122480265988,45.1882987449676,59.4936048834839,-24.045115717114,0.809693206966062,0.366075971421159
"138",31,115,12132023,0.527397260273973,1.75586854460094,1,4,56.8645719988117,2.56918700017033,58.3873619609479,-1.28725440809264,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,30.1164080244928,43.8157098604325,-31.265730669608,0.546961751856943,-0.649689580419881,34.6544424741383,43.4872817393192,-20.3113161179597,0.871098063386044,0.232315181819385,15.6937799043062,32.8003057772988,-52.1535560952974,0.379661918629344,-0.531281883242722,51.6361014593329,56.8744370754336,-9.21035158405694,0.925226258722306,0.105842814609193
"139",31,122,12202023,0.527397260273973,1.75586854460094,0,0,10.1185192292455,-82.2059344270507,40.8077668584828,-30.1085620450246,51.105087548474,1.21232096788261,"Activating",0.630831014301656,"Aware",0.902944566402389,40.0402556110498,33.2315571205607,20.4886531972842,0.7271945690206,-1.26116774789415,22.8987026881574,33.1814965753575,-30.989542210211,0.575597647562579,-0.413924861516442,41.2578616352201,37.5542980644847,9.86189001422952,0.998104918157647,-0.23538894408952,40.7851471940719,45.8698491327908,-11.0850635762916,0.730796634202314,-0.987542134200394
