"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude"
"176",11,2,8222023,0.191780821917808,0.63849765258216,1,NA,NA,NA,NA,NA,51.105087548474,0.278954972409805,"Aware",1,"Aware",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",11,9,8292023,0.191780821917808,0.63849765258216,1,4,60.8608555181512,NA,60.8608555181512,NA,51.105087548474,0.278954972409805,"Aware",1,"Aware",1,90.6635152170562,90.6635152170562,0,2.2789809007687,3.19057315848328,84.1558441558441,84.1558441558441,0,2.3660692091012,3.05038136928321,60.9780473401945,60.9780473401945,0,1.09261716144844,0.513566004487451,0,0,NA,0,-0.9640748931001
"39",11,24,9132023,0.191780821917808,0.63849765258216,1,4,55.0832082562967,-9.49320743631572,57.9720318872239,-4.74660371815786,51.105087548474,0.278954972409805,"Aware",1,"Aware",1,77.5330807603899,84.098297988723,-7.80659940253904,1.94892520776036,2.7788911567098,70.1298701298701,77.1428571428571,-9.09090909090908,1.97172434091767,2.6101027102792,78.1125620751532,69.5453047076738,12.3189587039569,1.3996369114916,1.36478463320881,0,0,NA,0,-0.9640748931001
"177",11,65,10242023,0.191780821917808,0.63849765258216,1,NA,NA,NA,57.9720318872239,0,51.105087548474,0.278954972409805,"Aware",1,"Aware",1,NA,84.098297988723,NA,NA,2.7788911567098,NA,77.1428571428571,NA,NA,2.6101027102792,NA,69.5453047076738,NA,NA,1.36478463320881,NA,0,NA,NA,-0.9640748931001
