"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","personality__melancholy","movavg_personality__melancholy","%change_personality__melancholy","Peer Comparison_personality__melancholy","Peer Deviation_personality__melancholy","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware"
"146",34,2,8222023,0.287671232876712,0.957746478873239,1,8,57.1844539597251,NA,57.1844539597251,NA,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,2.68503797915564,2.68503797915564,0,0.0874916040213584,-2.44025695377055,48.1283422459893,48.1283422459893,0,1.35314415553173,0.788557670086131,56.3317525919757,56.3317525919757,0,1.13539210817354,0.514519594165768,65.3250430347534,65.3250430347534,0,1.55807636954947,2.00569477026426
"147",34,18,9072023,0.287671232876712,0.957746478873239,2,9,87.7491692215498,53.4493435634646,72.4668115906374,26.7246717817323,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,8.002808002808,5.34392299098182,49.7553017944533,0.260770430167554,-2.20856327165875,57.3789846517119,52.7536634488506,8.76777251184833,1.61322900620536,1.07893753431338,76.2755509422731,66.3036517671244,15.0397435275098,1.53736843967433,1.27831853982854,71.4771973758632,68.4011202053083,4.49711519536807,1.7048122285003,2.26937494108524
"148",34,25,9142023,0.287671232876712,0.957746478873239,2,8,94.1082747675663,7.24691253766856,79.6806326496137,9.95465496636848,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,0,3.56261532732121,-100,0,-2.36378537781671,53.5537190082644,53.0203486353219,1.00597296447652,1.50568040579167,1.09568015711567,95.6555386454048,76.0876140598845,25.7176214910871,1.92798091101026,2.02772243494997,66.3040111015266,67.7020838373811,-2.06503649018044,1.58142586831017,2.209453808199
"149",34,37,9262023,0.287671232876712,0.957746478873239,1,8,64.9319205776719,-31.0029636203147,82.2631215222627,3.24104965883633,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,2.43083320006398,3.47788040095733,-30.1059001512857,0.0792083752382712,-2.37116912965457,52.2861753630984,54.4062930076916,-3.89682429621411,1.47004299973743,1.18269040376108,61.1233162122365,77.6848019333048,-21.318823384897,1.23196825341903,2.15005925287368,68.1785706974043,68.6532597249314,-0.691429699666074,1.62613624084059,2.29098824527713
"150",34,65,10242023,0.287671232876712,0.957746478873239,1,9,94.8215105977342,46.0321976527835,84.6205686476575,2.86573993518689,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,5.07173840507173,2.5008572017119,102.8,0.165261918707009,-2.456306358807,81.8181818181818,62.5526920631815,30.7988179558141,2.30034506440394,1.69412520967483,77.3004351754709,78.0264300110374,-0.930447331069502,1.55802544778471,2.17622630099539,45.8143151423024,60.0989656470778,-23.7685463484677,1.0927233797969,1.55771739456748
"214",34,123,12212023,0.287671232876712,0.957746478873239,2,NA,NA,NA,79.876715587703,-5.60602834011532,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,NA,3.75128580256786,NA,NA,-2.34734474314419,NA,67.0521785906401,NA,NA,1.97660511315212,NA,69.2118756938537,NA,NA,1.50107433889668,NA,56.9964429198534,NA,NA,1.29177032063795
