"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus"
"183",16,2,8222023,0.191780821917808,0.63849765258216,1,NA,NA,NA,NA,NA,51.105087548474,1.30902749697806,"Blocking",-0.999930711671867,"Blocking",-0.999930939712605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",16,16,9052023,0.191780821917808,0.63849765258216,1,5,68.4751383865577,NA,68.4751383865577,NA,51.105087548474,1.30902749697806,"Blocking",-0.999930711671867,"Blocking",-0.999930939712605,44.1192943514202,44.1192943514202,0,1.10901313435246,0.271946500669424,72.3813424919391,72.3813424919391,0,1.82059286818015,2.31333819056924,61.7288950092342,61.7288950092342,0,1.10607100401328,0.588168119937456,40.5024743052913,40.5024743052913,0,1.31976771699823,0.855132290765835
"51",16,23,9122023,0.191780821917808,0.63849765258216,1,5,31.3128336896651,-54.2712370833089,49.8939860381114,-27.1356185416545,51.105087548474,1.30902749697806,"Blocking",-0.999930711671867,"Blocking",-0.999930939712605,12.1462006227943,28.1327474871073,-56.8254020395246,0.305315309802212,-0.730514405900886,51.913630383258,62.1474864375985,-16.4670474076473,1.30577275832685,1.58767198776766,45.8209531651643,53.7749240871993,-14.7912266861356,0.82102923865164,-0.202116090134801,26.1662936822173,33.3343839937543,-21.5035931453842,0.852625185685847,0.230509100743312
"52",16,93,11212023,0.191780821917808,0.63849765258216,1,5,41.7187723537499,33.2321845005018,47.1689148099909,-5.4617228337679,51.105087548474,1.30902749697806,"Blocking",-0.999930711671867,"Blocking",-0.999930939712605,19.9257682634612,25.3970877458919,-21.543097921988,0.500867909178843,-0.902058139986984,31.7499644708877,52.0149791153616,-38.9599592062299,0.798600259274116,0.869192259858233,40.2037770553523,49.2512084099169,-18.3699682640536,0.720379524792843,-0.651579773828769,43.9840268534057,36.8842649469714,19.2487553070167,1.43321364189162,0.539843647160771
