"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware"
"67",18,9,8292023,0.671232876712329,2.23474178403756,1,5,69.8084665909897,NA,69.8084665909897,NA,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,59.9636483582974,59.9636483582974,0,1.08903499139454,0.283225134988992,43.6082000119528,43.6082000119528,0,0.920947497084197,-0.479240284059235,65.0411458053756,65.0411458053756,0,1.16542059326291,0.917264055747104,54.1697023231226,54.1697023231226,0,1.29200884093233,1.04946318655584
"68",18,24,9132023,0.671232876712329,2.23474178403756,1,5,48.7648615330877,-30.144774818214,59.2866640620387,-15.072387409107,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,63.6460096954446,61.804829026871,2.97902396554338,1.15591251564306,0.389595650313024,41.9305152549633,42.769357633458,-1.96131629023704,0.885517014344201,-0.586635458066288,39.9745227535522,52.5078342794639,-23.869412437019,0.716271699183322,-0.328010574488855,23.4863452923603,38.8280238077415,-39.5118705792139,0.560175973977362,-0.265619689237704
"69",18,30,9192023,0.671232876712329,2.23474178403756,2,8,80.8365996327735,65.7681311735595,66.4699759189503,12.1162355321508,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,30.1209233653719,51.2435271397046,-41.2200427124121,0.547043757611263,-0.220562355039533,39.6309953354813,41.7232368674658,-5.01457146920437,0.836954195567876,-0.72056803536136,54.846172789218,53.2872804493819,2.92544923796002,0.982744975334179,-0.25056699231771,14.714560111084,30.7902025755223,-52.2102523522147,0.350958948242839,-0.954618683095097
"70",18,38,9272023,0.671232876712329,2.23474178403756,1,8,80.9779032491804,0.174801534266432,70.1931214716805,5.60124402221845,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,29.4190344016341,41.0619891541502,-28.3545804583588,0.534296340425825,-0.808780263689239,34.4649300166528,38.6754802023658,-10.8868724154986,0.727853729970935,-1.11076572418929,46.6038771628173,47.1415242351958,-1.14049573301053,0.835057831452801,-0.86119206784692,21.3186392809555,19.8398482281333,7.45364095439643,0.508473726943198,-1.8932789132443
"71",18,44,10032023,0.671232876712329,2.23474178403756,1,8,76.8264199512162,-5.12668657916408,79.5469742777234,13.3258823798236,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,37.6235854006547,32.3878477225536,16.1657474832919,0.683304003755872,-1.30991136386926,29.607110246245,34.567678532793,-14.3503078514287,0.625263002593585,-1.63667868042531,41.8960682776232,47.7820394098862,-12.3183757013208,0.750702346074838,-0.797552279138723,14.9835913168029,17.0055969029475,-11.8902358893036,0.357375647640633,-2.1362298641269
"72",18,51,10102023,0.671232876712329,2.23474178403756,2,8,83.5669165357035,8.7736700327406,80.4570799120334,1.14411093894349,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,38.5287650281869,35.1904616101586,9.48638712106197,0.699743501932998,-1.1479959752454,37.5844388368608,33.8854930332529,10.9160158890946,0.793733629607131,-1.72401741331059,62.5329886713735,50.3443113706047,24.2106346654403,1.12047891920551,-0.542972133911255,33.7069240827208,23.3363848934931,44.4393561237472,0.803948370543672,-1.59355711366488
"73",18,58,10172023,0.671232876712329,2.23474178403756,2,12,85.5742482580461,2.40206508216081,81.9891949149886,1.90426374488156,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,41.4243237759515,39.192224734931,5.69525985349603,0.752331442831992,-0.916802147799593,34.0525238977889,33.7480243269649,0.902273768306793,0.719144258292539,-1.74161723421951,41.5128216478034,48.6472928656,-14.6657106645324,0.743835254341444,-0.71158312606239,34.4789486044808,27.7231546680015,24.3687777144531,0.822362031035668,-1.2175248689062
"74",18,65,10242023,0.671232876712329,2.23474178403756,1,8,63.9512520058128,-25.2681112512142,77.6974722665208,-5.23449785415958,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,31.1858515902284,37.0463134647889,-15.8192849070682,0.566384543769948,-1.04077786161235,50.316247116137,40.6510699502622,23.7759477861232,1.06261257817509,-0.857835245017964,50.3829654830798,51.4762586007522,-2.12387836138591,0.902772311227991,-0.430505036484178,49.7863454100823,39.3240726990946,26.6052623568376,1.1874608068518,-0.223098566016348
"188",18,72,10312023,0.671232876712329,2.23474178403756,1,NA,NA,NA,74.7627501319295,-3.77711404114224,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,NA,36.30508768309,NA,NA,-1.08360069248199,NA,42.184385506963,NA,NA,-0.661528173223276,NA,45.9478935654416,NA,NA,-0.979787858579758,NA,42.1326470072815,NA,NA,0.0176513606873898
"75",18,74,11022023,0.671232876712329,2.23474178403756,1,8,28.6501194961135,NA,46.3006857509631,-38.0698467227877,51.105087548474,1.14160835477127,"Blocking",-0.0173337829579261,"Blocking",-0.915656007609631,65.6247537654873,48.4053026778578,35.5734808688763,1.19184964739353,-0.384535073070407,72.2876318356008,61.3019394758689,17.9206277218298,1.52661915857323,1.78605088062008,57.6385043740698,54.0107349285748,6.71675630833843,1.03277854549825,-0.178686587270177,44.0980681867428,46.9422067984125,-6.05880891770501,1.05178894329992,0.429925005652661
