"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words"
"208",30,2,8222023,0.335616438356164,1.11737089201878,1,NA,NA,NA,NA,NA,51.105087548474,1.19974384567429,"Aware",0.996569590028877,"Aware",0.996569590028877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",30,9,8292023,0.335616438356164,1.11737089201878,1,NA,NA,NA,NA,NA,51.105087548474,1.19974384567429,"Aware",0.996569590028877,"Aware",0.996569590028877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",30,10,8302023,0.335616438356164,1.11737089201878,2,NA,NA,NA,NA,NA,51.105087548474,1.19974384567429,"Aware",0.996569590028877,"Aware",0.996569590028877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",30,37,9262023,0.335616438356164,1.11737089201878,1,5,64.5156066468682,NA,64.5156066468682,NA,51.105087548474,1.19974384567429,"Aware",0.996569590028877,"Aware",0.996569590028877,71.8702706112424,71.8702706112424,0,1.28778625248016,1.595786715132,24.0474620962427,24.0474620962427,0,0.783583341381532,-0.578747832275141,26.3709281388117,26.3709281388117,0,0.663302476078812,-0.949185973897587,32,32,0,0.774139912132029,-0.581093665500875
"129",30,58,10172023,0.335616438356164,1.11737089201878,1,7,74.6690516890274,15.7379672452512,69.5923291679478,7.86898362262558,51.105087548474,1.19974384567429,"Aware",0.996569590028877,"Aware",0.996569590028877,79.6891951418439,75.7797328765432,5.15898132244655,1.42788734621548,1.98421990509771,6.80901896371512,15.4282405299789,-55.8665231431647,0.221870973733721,-1.32982174962876,52.758764177801,39.5648461583064,33.3475782180558,1.32703023305764,-0.0136265583221484,30.2025782688765,31.1012891344383,-2.88962576977754,0.730656915225899,-0.637030272755532
"211",30,65,10242023,0.335616438356164,1.11737089201878,1,NA,NA,NA,69.5923291679478,0,51.105087548474,1.19974384567429,"Aware",0.996569590028877,"Aware",0.996569590028877,NA,75.7797328765432,NA,NA,1.98421990509771,NA,15.4282405299789,NA,NA,-1.32982174962876,NA,39.5648461583064,NA,NA,-0.0136265583221484,NA,31.1012891344383,NA,NA,-0.637030272755532
"130",30,108,12062023,0.335616438356164,1.11737089201878,1,0,40.4568684463559,NA,57.5629600676916,-17.2854813800319,51.105087548474,1.19974384567429,"Aware",0.996569590028877,"Aware",0.996569590028877,72.2463369090836,75.9677660254637,-4.8986949479767,1.29452468555217,2.00290235063575,11.4751623131512,9.14209063843316,25.5201109570042,0.373916631711392,-1.87759316817484,66.4578672632365,59.6083157205187,11.4909328672072,1.67160092654244,1.40762349355939,24.4320297951583,27.3173040320174,-10.5620753551573,0.591056543713468,-0.872549054871608
