"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion"
"22",6,2,8222023,0.335616438356164,1.11737089201878,0,4,34.9071519072565,NA,34.9071519072565,NA,51.105087548474,1.55741942800709,"Aware",0.812639338030766,"Aware",0.880410756276352,11.5326014392993,11.5326014392993,0,1.2344800357017,0.226056315353226,9.38042848870874,9.38042848870874,0,0.263733829039942,-1.6440547783137,34.8195329087048,34.8195329087048,0,0.84234969207572,-0.405603292568509,50.0182416194219,50.0182416194219,0,1.05631909630146,0.341423468124937
"23",6,2,8222023,0.335616438356164,1.11737089201878,0,4,57.3906992570205,64.4095725984741,46.1489255821385,32.204786299237,51.105087548474,1.55741942800709,"Aware",0.812639338030766,"Aware",0.880410756276352,7.66581871310109,9.5992100762002,-20.1411506546008,0.820569427326605,0.0265359025921167,17.6374523679913,13.50894042835,30.5613305613306,0.495882768374503,-1.38486483583966,26.187624750499,30.5035788296019,-14.1490088858509,0.633527672603058,-0.674232322775027,40.3620591111537,45.1901503652878,-10.6839459818278,0.852393295421341,-0.27670660452364
"24",6,16,9052023,0.335616438356164,1.11737089201878,1,4,56.0434157221867,-2.34756424346753,49.4470889621546,7.146782592253,51.105087548474,1.55741942800709,"Aware",0.812639338030766,"Aware",0.880410756276352,33.8626921994737,17.6870374506247,91.4548566655389,3.62475176961478,0.861176362296632,27.1054099274958,18.0410969280653,50.2425824525658,0.762077505998852,-1.10033389597114,26.8302658486707,29.2791411692915,-8.36389054740863,0.649074363955279,-0.750442471263421,44.9645698130075,45.114956847861,-0.333341856805212,0.949592233006788,-0.286333467800077
"155",6,44,10032023,0.335616438356164,1.11737089201878,0,NA,NA,NA,56.7170574896036,14.7025207753145,51.105087548474,1.55741942800709,"Aware",0.812639338030766,"Aware",0.880410756276352,NA,20.7642554562874,NA,NA,1.17873638576834,NA,22.3714311477436,NA,NA,-0.828473454799851,NA,26.5089452995849,NA,NA,-0.922862060610877,NA,42.6633144620806,NA,NA,-0.600211935762584
"25",6,48,10072023,0.335616438356164,1.11737089201878,0,2,36.6802408846359,NA,46.3618283034113,-18.2576982032089,51.105087548474,1.55741942800709,"Aware",0.812639338030766,"Aware",0.880410756276352,19.5382892023962,26.7004907009349,-26.8242317295238,2.09142994137754,1.79133874288273,19.0029325513196,23.0541712394077,-17.5726927939318,0.534273692377689,-0.785610707236009,42.3225806451613,34.576423246916,22.4030037546935,1.02386246443268,-0.420734665952753,42.9437940354848,43.9541819242462,-2.29872982393968,0.906916121771566,-0.434944968721551
"26",6,64,10232023,0.335616438356164,1.11737089201878,1,0,13.7831116289122,-62.4236065617402,25.2316762567741,-45.5766151161094,51.105087548474,1.55741942800709,"Aware",0.812639338030766,"Aware",0.880410756276352,30.3640295548748,24.9511593786355,21.6938623736823,3.25024570442684,1.61081279550203,0,9.5014662756598,-100,0,-1.63645596850143,69.1983122362869,55.7604464407241,24.0992794235388,1.67403672982137,0.897778808038588,58.7678687324748,50.8558313839798,15.5577780033843,1.2410996464727,0.448658272680995
"27",6,134,1012024,0.335616438356164,1.11737089201878,0,0,0,-100,16.821117504516,-33.3333333333333,51.105087548474,1.55741942800709,"Aware",0.812639338030766,"Aware",0.880410756276352,100,49.967439585757,100.130326526686,10.70426340665,4.19242076579512,8.46394984326018,9.15562746485993,-7.55467196819075,0.237966730800408,-1.65816789347271,81.6858237547893,64.4022388787458,26.8369317231104,1.97613301324891,1.43565207529873,72.8687707500608,58.1934778393401,25.2181059726934,1.5388920436862,1.38808126569874
