"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion"
"213",33,9,8292023,0.0958904109589041,0.31924882629108,1,NA,NA,NA,NA,NA,51.105087548474,NA,"Unable to Calculate - No Variation in Sliders",NA,"Unable to Calculate - No Variation in Sliders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",33,44,10032023,0.0958904109589041,0.31924882629108,0,4,65.0028961213585,NA,NA,NA,51.105087548474,NA,"Unable to Calculate - No Variation in Sliders",NA,"Unable to Calculate - No Variation in Sliders",NA,19.7590361445783,NA,NA,0.478008078274295,NA,37.2143425975762,NA,NA,0.675871505154956,NA,5.88220918866079,NA,NA,0.629647165684419,NA,35.4429667491789,NA,NA,0.748508571964629,NA
