"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","sallee__joy","movavg_sallee__joy","%change_sallee__joy","Peer Comparison_sallee__joy","Peer Deviation_sallee__joy"
"9",2,2,8222023,0.287671232876712,0.957746478873239,0,0,6.07157412947962,NA,6.07157412947962,NA,51.105087548474,0.884007824737195,"Blocking",-0.816632370077519,"Blocking",-0.852842752138107,97.2179656012985,97.2179656012985,0,1.76563249953344,2.43551849262728,47.5657952592971,47.5657952592971,0,0.852293677236089,-0.819037690564807,36.6377204727438,36.6377204727438,0,0.873851188622588,-0.453371662123921,0,0,NA,0,-0.961852230557634
"10",2,58,10172023,0.287671232876712,0.957746478873239,1,0,8.6552966847731,42.554410111681,7.36343540712636,21.2772050558405,51.105087548474,0.884007824737195,"Blocking",-0.816632370077519,"Blocking",-0.852842752138107,46.9027799660885,72.0603727836935,-34.9118271884626,0.851828899261453,0.982089093765534,22.3474965507067,34.9566459050019,-36.0708215214978,0.400427027623381,-2.07184735441921,5.95790754154565,21.2978140071447,-72.0257321265602,0.142102852462023,-1.76830263848084,23.0726563930824,11.5363281965412,100,1.33308095357271,-0.320738786203732
"153",2,65,10242023,0.287671232876712,0.957746478873239,0,NA,NA,NA,7.36343540712636,0,51.105087548474,0.884007824737195,"Blocking",-0.816632370077519,"Blocking",-0.852842752138107,NA,72.0603727836935,NA,NA,0.982089093765534,NA,34.9566459050019,NA,NA,-2.07184735441921,NA,21.2978140071447,NA,NA,-1.76830263848084,NA,11.5363281965412,NA,NA,-0.320738786203732
"11",2,93,11212023,0.287671232876712,0.957746478873239,1,0,29.7297419240917,NA,19.1925193044324,160.646264186114,51.105087548474,0.884007824737195,"Blocking",-0.816632370077519,"Blocking",-0.852842752138107,90.2052444884379,68.5540122272632,31.5827353611321,1.63827035787116,0.779516154745758,72.1961391211027,47.2718178359047,52.72554013412,1.29362523128941,-0.848246461643052,68.3408751443299,37.1493913429378,83.9623010602076,1.63000738598921,-0.409511428788967,3.32433133389428,13.1984938634883,-74.8127978216473,0.192071632718809,-0.228366522025015
"12",2,121,12192023,0.287671232876712,0.957746478873239,1,0,35.3255600690602,18.8222896762985,32.527650996576,69.4808820073135,51.105087548474,0.884007824737195,"Blocking",-0.816632370077519,"Blocking",-0.852842752138107,69.091056969224,79.648150728831,-13.2546627423272,1.2548032131455,1.42045772535337,74.4595162573932,73.327827689248,1.54332755218274,1.33418088713297,1.74060549248455,33.231064262578,50.785969703454,-34.5664472754609,0.792598574102082,0.759410907078801,0,1.66216566694714,-100,0,-0.869479966378918
"13",2,141,1082024,0.287671232876712,0.957746478873239,0,0,24.7195290527699,-30.0236740636409,29.9249436819739,-8.0015225042718,51.105087548474,0.884007824737195,"Blocking",-0.816632370077519,"Blocking",-0.852842752138107,91.920366479628,83.73888931243,9.77022412689632,1.66941969441179,1.65679193123575,66.5717015486267,71.0757856423742,-6.33701626093913,1.19284540505296,1.51684892013744,47.3425290924057,49.6381561664379,-4.62472269585292,1.12917301584238,0.661020765112228,13.5120020029131,5.61211111226913,140.765047815488,0.780690017128682,-0.64996790965539
