"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend"
"32",10,9,8292023,0.335616438356164,1.11737089201878,1,6,74.1939002997025,NA,74.1939002997025,NA,51.105087548474,0.91494844782865,"Blocking",-0.0627717027032011,"Activating",0.46507577111228,24.4854125648829,24.4854125648829,0,0.797853898923249,-0.54058508502939,6.20867064955675,6.20867064955675,0,0.148083837009389,-3.0617382961283,39.4259497952995,39.4259497952995,0,0.991672723209638,-0.0234754750736578,55.232773087779,55.232773087779,0,1.38836923168251,0.968834206548546
"33",10,65,10242023,0.335616438356164,1.11737089201878,2,8,64.381536100178,-13.2252977130033,69.2877181999403,-6.61264885650164,51.105087548474,0.91494844782865,"Blocking",-0.0627717027032011,"Activating",0.46507577111228,37.3464373464375,30.9159249556602,20.7999999999999,1.21692867411526,0.019765997118934,35.7690025255924,20.9888365875746,70.4191767673664,0.853131280263094,-1.79478806594409,35.2948468384707,37.3603983168851,-5.52871910222882,0.887763948904188,-0.169940394071266,51.2832161311647,53.2579946094719,-3.7079474974372,1.2890904330492,0.84500269744019
"34",10,70,10292023,0.335616438356164,1.11737089201878,2,6,64.7886799936527,0.632392325714616,67.7880387978444,-2.16442313451324,51.105087548474,0.91494844782865,"Blocking",-0.0627717027032011,"Activating",0.46507577111228,29.3436293436294,30.3918264183166,-3.44894400310035,0.956158243947699,-0.0259036423601903,34.7409104667239,25.5728612139577,35.8506980351588,0.828610118573353,-1.40184720994007,41.1054516885052,38.6087494407585,6.46667474059912,1.03391688535965,-0.0814218322491995,31.3564112665451,45.9574668284963,-31.7708015031361,0.788196467145818,0.387211921241002
"35",10,85,11132023,0.335616438356164,1.11737089201878,0,8,48.5719290577218,-25.03022277583,59.2473817171842,-12.5990620648135,51.105087548474,0.91494844782865,"Blocking",-0.0627717027032011,"Activating",0.46507577111228,15.0296638101517,27.2399101667395,-44.8248407643311,0.489739588363458,-0.30055977784096,30.3606608974432,33.6235246299198,-9.70410975169802,0.724136198165911,-0.711747388952754,60.1647841981777,45.5216942417179,32.1672780426532,1.51331231579462,0.408763917604244,22.0303735616955,34.8900003198018,-36.8576286621809,0.553770725343093,-0.306790517428811
"36",10,117,12152023,0.335616438356164,1.11737089201878,3,10,89.4017869045074,84.0606058661255,67.5874653186273,14.0767125225116,51.105087548474,0.91494844782865,"Blocking",-0.0627717027032011,"Activating",0.46507577111228,61.2266112266112,35.1999681267974,73.9393939393937,1.99506095131395,0.393075009066381,23.6950491299583,29.5988734980418,-19.9461116939943,0.56515379722078,-1.05673896072044,56.8070613204841,52.692432402389,7.80876632658269,1.42885620992542,0.917229378199772,60.5625807756195,37.9831218679534,59.4460323355269,1.52234296848588,-0.112831593240246
"37",10,120,12182023,0.335616438356164,1.11737089201878,2,7,67.2426273780649,-24.7860364917665,68.405447780098,1.21025763817967,51.105087548474,0.91494844782865,"Blocking",-0.0627717027032011,"Activating",0.46507577111228,43.4976152623211,39.917963433028,8.96752118954873,1.417363985146,0.804198355816895,33.7934158805694,29.2830419693236,15.4026822622142,0.806011298023353,-1.0838119198257,51.9482388033514,56.3066947740044,-7.74056440028372,1.30664325672646,1.17351088511293,52.0003454886463,44.8644332753204,15.9054995067803,1.30711669317344,0.318671578168264
"175",10,145,1122024,0.335616438356164,1.11737089201878,1,NA,NA,NA,78.3222071412862,14.4970315713266,51.105087548474,0.91494844782865,"Blocking",-0.0627717027032011,"Activating",0.46507577111228,NA,52.3621132444661,NA,NA,1.88857427946119,NA,28.7442325052638,NA,NA,-1.12999846315537,NA,54.3776500619177,NA,NA,1.03672544042606,NA,56.2814631321329,NA,NA,1.03459392198284
