"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend"
"92",22,16,9052023,0.623287671232877,2.07511737089202,1,5,44.0318515946063,NA,44.0318515946063,NA,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,0,0,NA,0,-2.23296253876493,31.1960063685501,31.1960063685501,0,0.744060135119913,-0.919833335546073,26.9958847736625,26.9958847736625,0,0.653080995831546,-0.892554490999771,18.4141311155532,18.4141311155532,0,0.462870351057176,-1.33993513078461
"93",22,23,9122023,0.623287671232877,2.07511737089202,0,5,46.2270832969992,4.98555391811368,45.1294674458027,2.49277695905683,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,29.2594822396146,14.6297411198073,100,0.822639956806706,-1.31450043554464,23.9222259692006,27.5591161688753,-13.1966866331591,0.57057222250592,-1.23158618696572,43.4437086092715,35.219796691467,23.3502538071067,1.05098464892097,-0.380690499285835,50.1569581799484,34.2855446477508,46.291851843861,1.26078003328127,-0.344693836146028
"94",22,30,9192023,0.623287671232877,2.07511737089202,1,2,40.666834115216,-12.028120281913,43.6419230022738,-3.2961710556752,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,19.1263282172372,16.1286034856173,18.5863874345548,0.537743002068451,-1.22040114358412,23.3850006534865,26.1677443304124,-10.6342512437794,0.557758789392794,-1.35085405434995,56.7965367965368,42.4120433931569,33.9160583941607,1.37401456265858,0.0669616816851423,44.0563913809959,37.5424935588325,17.3507330085987,1.1074319617291,-0.140461866242347
"95",22,37,9262023,0.623287671232877,2.07511737089202,1,3,49.060816599644,20.6408555449545,45.3182446706197,3.84108112802124,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,13.3278486219663,20.5712196929394,-35.211189122924,0.374716843070327,-0.941491585844024,24.1543789515988,23.8205351914286,1.40149563176186,0.576109334449385,-1.55205593336788,4.94720965309201,35.0624850196334,-85.8903051214944,0.11968226394198,-0.390481725297582,32.9450881579589,42.3861459063011,-22.2739235815698,0.82813054960839,0.163266772879459
"96",22,49,10082023,0.623287671232877,2.07511737089202,2,3,59.0268211504292,20.313572503515,49.5848239550964,9.41470552420299,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,34.2494714587737,22.2345494326591,54.0371733751735,0.962935143238858,-0.837066953953345,25.5294434157578,24.356274340281,4.81670168058729,0.60890618154941,-1.50613257629573,19.0697674418604,26.9378379638297,-29.2082480135712,0.461333377869376,-0.896167378891108,31.7619010590945,36.2544601993498,-12.3917419141048,0.79838913936313,-0.221229970836732
"97",22,58,10172023,0.623287671232877,2.07511737089202,0,3,31.5937999619065,-46.4755185081201,46.5604792373266,-6.09933539445184,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,28.6894923258559,25.4222708021986,12.8518083576338,0.80661450310268,-0.636940290769703,36.1986758731887,28.6274994135151,26.4472154913371,0.863379476948687,-1.14000477959873,63.8961038961039,29.3043603303521,118.042991472239,1.5457663829909,-0.74887280702368,42.2674106909163,35.6581333026566,18.5351188525826,1.06246290427777,-0.25862356224488
"98",22,74,11022023,0.623287671232877,2.07511737089202,0,0,1.76729714772668,-94.4061899807634,30.7959727533541,-33.8581276271194,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,0,20.9796545948765,-100,0,-0.915849848509801,47.709776232719,36.4792985072218,30.7858927804597,1.13793227667903,-0.466951533048646,46.1044176706827,43.023429669549,7.16118641586203,1.11535218264002,0.105014937002195,11.6682467474656,28.5658528324921,-59.1531650887958,0.29330113022055,-0.703355871862233
"99",22,80,11082023,0.623287671232877,2.07511737089202,1,1,31.7840787813232,1698.45697268328,21.7150586303188,-29.4873430229486,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,17.2248803827751,15.304790902877,12.5456760048722,0.484283171453461,-1.27212048921072,38.1486468188199,40.6856996415759,-6.23573600824454,0.909888495704016,-0.106380419857769,25.5750487329434,45.1918567665767,-43.4078381310095,0.618708311840411,0.239979873484826,25.3792379140465,26.4382984508095,-4.00578175911522,0.637950098710665,-0.836767427987609
"100",22,100,11282023,0.623287671232877,2.07511737089202,0,0,1.36045766797718,-95.7196882208315,11.6372778656757,-46.4091805424481,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,8.61244019138755,8.61244019138755,0,0.242141585726731,-1.69226944876,61.9689769659713,49.2758000058367,25.7594538467789,1.47803038728147,0.629959732170683,95.906432748538,55.8619663840547,71.6846701907608,2.32015616940155,0.904097504536209,16.7290944004784,17.9255263539968,-6.67445925933253,0.420514101340233,-1.37057384071875
"101",22,121,12192023,0.623287671232877,2.07511737089202,0,2,24.0822619039092,1670.15885688794,19.0755994510699,63.9180543014583,51.105087548474,1.24077128479098,"Activating",0.484089963548764,"Blocking",-0.871760264996216,8.41558441558441,11.4176349965824,-26.2931034482758,0.23660692091012,-1.5161579851584,54.1687758051768,51.4287998633227,5.32770733350944,1.29198674242845,0.814514065083281,24.9904761904761,48.8239858906525,-48.8151658767774,0.604566407569773,0.466046997069271,16.0148226307715,19.3743849817655,-17.3402270789802,0.402559671521102,-1.27972094135201
