"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","sallee__joy","movavg_sallee__joy","%change_sallee__joy","Peer Comparison_sallee__joy","Peer Deviation_sallee__joy","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity"
"156",7,9,8292023,0.383561643835616,1.27699530516432,1,NA,NA,NA,NA,NA,51.105087548474,0.614594916414006,"Blocking",0.277652816900995,"Aware",0.992583627829209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",7,30,9192023,0.383561643835616,1.27699530516432,2,NA,NA,NA,NA,NA,51.105087548474,0.614594916414006,"Blocking",0.277652816900995,"Aware",0.992583627829209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",7,32,9212023,0.383561643835616,1.27699530516432,1,NA,NA,NA,NA,NA,51.105087548474,0.614594916414006,"Blocking",0.277652816900995,"Aware",0.992583627829209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",7,40,9292023,0.383561643835616,1.27699530516432,1,5,58.0975471869372,NA,58.0975471869372,NA,51.105087548474,0.614594916414006,"Blocking",0.277652816900995,"Aware",0.992583627829209,0,0,NA,0,-0.961852230557634,43.8330359130721,43.8330359130721,0,0.925695733891351,-0.450455030306237,14.1075268817204,14.1075268817204,0,0.341287488144227,-1.69473797534921,40.7488718394256,40.7488718394256,0,0.740064164005217,-0.826869987686795
"29",7,51,10102023,0.383561643835616,1.27699530516432,2,9,71.4449683691079,22.9741561020183,64.7712577780225,11.4870780510091,51.105087548474,0.614594916414006,"Blocking",0.277652816900995,"Aware",0.992583627829209,0,0,NA,0,-0.961852230557634,46.4753113966613,45.1541736548667,2.92583749155203,0.981497096766944,-0.281312624885664,14.1075268817204,14.1075268817204,0,0.341287488144227,-1.69473797534921,51.8955725195321,46.3222221794788,12.0316989941866,0.94250593350368,-0.50488086523304
"159",7,58,10172023,0.383561643835616,1.27699530516432,1,NA,NA,NA,64.7712577780225,0,51.105087548474,0.614594916414006,"Blocking",0.277652816900995,"Aware",0.992583627829209,NA,0,NA,NA,-0.961852230557634,NA,45.1541736548667,NA,NA,-0.281312624885664,NA,14.1075268817204,NA,NA,-1.69473797534921,NA,46.3222221794788,NA,NA,-0.50488086523304
"30",7,65,10242023,0.383561643835616,1.27699530516432,2,7,60.8919820480992,NA,66.1684752086036,2.15715655139724,51.105087548474,0.614594916414006,"Blocking",0.277652816900995,"Aware",0.992583627829209,61.4606397799892,30.7303198899946,100,3.55104357683155,0.745937362033756,53.1556767825044,49.8154940895828,6.70510802706267,1.12257757658528,0.315466140735687,36.2030905077262,25.1553086947233,43.9182915506035,0.875820540767471,-1.00711367259549,42.2742742018178,47.0849233606749,-10.2169629161486,0.767767891081242,-0.46081733628836
"31",7,75,11032023,0.383561643835616,1.27699530516432,1,5,49.6244158664641,-18.504186926835,55.2581989572816,-16.4886318098249,51.105087548474,0.614594916414006,"Blocking",0.277652816900995,"Aware",0.992583627829209,49.2534122857737,55.3570260328814,-11.0259061667841,2.84574019991536,2.11452814147182,54.7343919100562,53.9450343462803,1.46326269570784,1.15591795167366,0.844162241227147,28.3982683982683,32.3006794529973,-12.0815138282388,0.687007281329287,-0.562379094311909,50.9198305830304,46.5970523924241,9.27693484600993,0.924784911842822,-0.489003101645478
