"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words"
"1",1,2,8222023,0.431506849315068,1.43661971830986,2,7,40.1162928150386,NA,40.1162928150386,NA,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,41.9800522297559,41.9800522297559,0,0.752207187757854,-1.37402142900651,22.4827906052628,22.4827906052628,0,0.565142993437968,-1.08480360580937,16.3236083765886,16.3236083765886,0,0.531902599282166,-1.2517999200638,9.75316074653824,9.75316074653824,0,0.27421331893557,-1.6206544699514
"2",1,23,9122023,0.431506849315068,1.43661971830986,2,7,59.5893279647497,48.5414622918774,49.8528103898941,24.2707311459387,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,47.7330719403273,44.8565620850416,6.41268461419813,0.855290975122394,-1.08821948919153,22.2266967335875,22.3547436694251,-0.572795366080533,0.558705640540778,-1.09283298504135,10.4665174728869,13.3950629247378,-21.8628719275552,0.341050074274338,-1.50699165492754,18.7608569774175,14.2570088619779,31.5904139433551,0.527467658079885,-1.33790074390694
"3",1,25,9142023,0.431506849315068,1.43661971830986,1,6,65.1411920881391,9.31687654989772,54.9489376226425,10.2223469306785,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,56.70203352227,48.8050525641177,16.1806627454762,1.01599866866546,-0.695908565525727,40.6424248894403,28.4506374094302,42.852422968805,1.02161613590884,-0.710580631432505,24.1653418124007,16.9851558872921,42.2733001260277,0.787424436192224,-1.19415305757632,38.5026737967915,22.3388971735824,72.3570930901821,1.08251532442539,-0.830515953165984
"4",1,34,9232023,0.431506849315068,1.43661971830986,0,5,37.6030460775521,-42.2745502927343,54.111188710147,-1.5245952856244,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,31.8717602851112,45.4356219159028,-29.852923892837,0.571084739050487,-1.0306857308333,25.7069707719471,29.5253641316583,-12.9325868520516,0.646188218773864,-0.6431882462336,29.5057488427655,21.379202709351,38.0114555434754,0.961440886179456,-0.81125839193778,24.4098442993471,27.224458357852,-10.3385493349701,0.6862907926951,-0.523798099174678
"5",1,43,10022023,0.431506849315068,1.43661971830986,1,5,43.7125572096558,16.2473835749995,48.8189317917823,-9.78033756884041,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,35.3888695248596,41.3208877774136,-14.3559796791116,0.634105023917905,-1.43951415756099,27.723299352348,31.3575650045785,-11.5897572139285,0.69687205022918,-0.528297284246895,8.002808002808,20.5579662193247,-61.0719858305572,0.260770430167554,-0.882820458523007,38.2526564344745,33.7217248435377,13.4362391365194,1.07548600413691,-0.115896620074265
"6",1,48,10072023,0.431506849315068,1.43661971830986,1,7,51.4589853871425,17.7212880507836,44.2581962247835,-9.34214535141994,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,53.2988610376788,40.1864969492165,32.6287810182418,0.955019925950248,-1.5522240440268,31.6545349020073,28.3616016754341,11.6105333692257,0.795690309290141,-0.716163753502356,18.4338184338185,18.647458426464,-1.14567887890987,0.600663512223556,-1.04930098824218,37.7622377622377,33.4749128320198,12.8075760846104,1.06169772203259,-0.131391595504273
"7",1,58,10172023,0.431506849315068,1.43661971830986,0,4,26.1975346728834,-49.0904562618347,40.4563590898939,-8.59013122807891,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,28.4660926281633,39.0512743969006,-27.1058548849238,0.510061287325126,-1.66501656826496,5.57829896111898,21.6520444051581,-74.2366177681121,0.140219985522648,-1.13689681868112,21.7360217360218,16.0575493908828,35.3632562909206,0.708265365887186,-1.27498414419645,0,25.3382980655707,-100,0,-0.642212139100088
"8",1,61,10202023,0.431506849315068,1.43661971830986,1,5,42.8942785648301,63.7340272679521,40.1835995416187,-0.674206859962759,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,38.6926344990042,40.1525293882821,-3.63587278689334,0.693302562468196,-1.55559896547475,17.0842709996212,18.1057016209158,-5.6414859952992,0.429442066287417,-1.35927567464511,0,13.3899467232801,-100,0,-1.50743747772502,24.6825799898425,20.8149392506934,18.581081081081,0.693958846244763,-0.926190756131623
"152",1,65,10242023,0.431506849315068,1.43661971830986,1,NA,NA,NA,34.5459066188567,-14.0298355226313,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,NA,33.5793635635837,NA,NA,-2.20869025941636,NA,11.3312849803701,NA,NA,-1.78407584597706,NA,10.8680108680109,NA,NA,-1.72719749057182,NA,12.3412899949212,NA,NA,-1.45817048521038
