"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes"
"43",14,2,8222023,0.383561643835616,1.27699530516432,1,7,80.4812427840459,NA,80.4812427840459,NA,51.105087548474,1.1782965339942,"Activating",0.524772224732846,"Blocking",-0.418804266883208,82.326369282891,82.326369282891,0,2.31463292194682,2.93552606693434,7.21357903057228,7.21357903057228,0,0.772160500479324,-0.219654341144376,100,100,0,2.51366924756075,3.77603173681973,64.5027118910982,64.5027118910982,0,1.62242330971259,1.75467722044903
"44",14,33,9222023,0.383561643835616,1.27699530516432,2,8,85.1436404753378,5.79314822933642,82.8124416296918,2.8965741146682,51.105087548474,1.1782965339942,"Activating",0.524772224732846,"Blocking",-0.418804266883208,55.9263521288838,69.1263607058874,-19.0954773869346,1.57238776554194,2.10682325251842,1.78150608687414,4.49754255872321,-60.3893445450823,0.19069710414451,-0.49994147197593,57.254773999959,78.6273869999795,-27.182148377926,1.43919564679738,2.43582930375992,39.7743984745937,52.1385551828459,-23.7140378456827,1.00043718043866,0.877954839200014
"179",14,36,9252023,0.383561643835616,1.27699530516432,1,NA,NA,NA,82.8124416296918,0,51.105087548474,1.1782965339942,"Activating",0.524772224732846,"Blocking",-0.418804266883208,NA,69.1263607058874,NA,NA,2.10682325251842,NA,4.49754255872321,NA,NA,-0.49994147197593,NA,78.6273869999795,NA,NA,2.43582930375992,NA,52.1385551828459,NA,NA,0.877954839200014
"45",14,37,9262023,0.383561643835616,1.27699530516432,1,6,62.8039015674309,NA,73.9737710213844,-10.6731192008937,51.105087548474,1.1782965339942,"Activating",0.524772224732846,"Blocking",-0.418804266883208,26.9401330376939,41.4332425832889,-34.979423868313,0.757430691937881,0.368236130072833,0,0.89075304343707,-100,0,-0.872151747953792,43.4281120174766,50.3414430087178,-13.7328820511641,1.09163909657954,0.662115862242672,40.4517014968805,40.1130499857371,0.844242737123729,1.01747324262706,0.0252456896067484
"46",14,46,10052023,0.383561643835616,1.27699530516432,1,6,67.4139792150085,7.34043193578966,65.1089403912197,-11.9837484391623,51.105087548474,1.1782965339942,"Activating",0.524772224732846,"Blocking",-0.418804266883208,33.4710743801653,30.2056037089296,10.810810810811,0.941050253619795,-0.336640376646766,3.90630626244429,1.95315313122215,100,0.4181413118025,-0.762515122861735,46.752643675193,45.0903778463348,3.68652006980978,1.17520682648498,0.332839778556762,60.0367771676496,50.2442393322651,19.4898718052562,1.51009258155327,0.743631961987485
"180",14,53,10122023,0.383561643835616,1.27699530516432,0,NA,NA,NA,65.1089403912197,0,51.105087548474,1.1782965339942,"Activating",0.524772224732846,"Blocking",-0.418804266883208,NA,30.2056037089296,NA,NA,-0.336640376646766,NA,1.95315313122215,NA,NA,-0.762515122861735,NA,45.0903778463348,NA,NA,0.332839778556762,NA,50.2442393322651,NA,NA,0.743631961987485
"47",14,75,11032023,0.383561643835616,1.27699530516432,0,6,36.5016711939653,NA,51.9578252044869,-20.1986318740741,51.105087548474,1.1782965339942,"Activating",0.524772224732846,"Blocking",-0.418804266883208,16.6409861325114,25.0560302563383,-33.5849056603778,0.46786679276012,-0.659933046368088,26.6041714869304,15.2552388746873,74.3936735797305,2.84778059311789,0.610221762579602,16.7802504841069,31.76644707965,-47.1761810754827,0.421799996082659,-0.502657707474283,36.1081409016798,48.0724590346647,-24.8880926277508,0.90822056548845,0.589634529005174
"48",14,102,11302023,0.383561643835616,1.27699530516432,0,5,60.3199197423567,65.2524878157611,48.410795468161,-6.82674789094057,51.105087548474,1.1782965339942,"Activating",0.524772224732846,"Blocking",-0.418804266883208,5.93841642228738,11.2897012773994,-47.3997028231795,0.166960528868028,-1.52418972487486,17.1066075315339,21.8553895092322,-21.7281964967601,1.83113633011721,1.29133827319597,36.5421697910887,26.6612101375978,37.0611821537564,0.91854928443003,-0.822789409249755,26.0075533424744,31.0578471220771,-16.2609267788325,0.654162585329179,-0.616844119237408
