"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","sallee__joy","movavg_sallee__joy","%change_sallee__joy","Peer Comparison_sallee__joy","Peer Deviation_sallee__joy","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","personality__melancholy","movavg_personality__melancholy","%change_personality__melancholy","Peer Comparison_personality__melancholy","Peer Deviation_personality__melancholy","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus"
"53",17,2,8222023,0.863013698630137,2.87323943661972,0,4,11.3087171297274,NA,11.3087171297274,NA,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,56.7965367965368,56.7965367965368,0,1.37401456265858,0.962266043627097,41.27406501148,41.27406501148,0,0.749602505271432,-0.796528006962345,0,0,NA,0,-0.9640748931001,60.8011718332563,60.8011718332563,0,1.28404031820336,1.72193868327022,35.8598055110951,35.8598055110951,0,0.855297034458174,-0.520054238209853,57.8232689217882,57.8232689217882,0,3.34088529555094,2.25158574300524,8.22707385958216e-05,8.22707385958216e-05,0,2.06801425582426e-06,-2.49461626707239,10.7294554311022,10.7294554311022,0,0.216257056827458,-2.97839443148736,28.8323371961623,28.8323371961623,0,0.516623732626965,-2.68034146605794,0,0,NA,0,-2.23296253876493,17.3007156899775,17.3007156899775,0,0.435161306977598,-1.59234008818254,29.3436293436294,29.3436293436294,0,0.956158243947699,-0.117242921318439
"54",17,3,8232023,0.863013698630137,2.87323943661972,1,4,63.5669935428813,462.106141781385,37.4378553363044,231.053070890693,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,12.7875243664717,34.7920305815042,-63.2458233890216,0.309354155920206,-0.407315063210388,56.4364650269792,48.8552650192296,15.5176724653231,1.02497574593441,-0.358539402496046,0,0,NA,0,-0.9640748931001,36.8318099438722,48.8164908885642,-24.5504761332601,0.777839103003394,0.187565923296127,28.2288718988949,32.044338704995,-11.9068358415065,0.67329061262628,-0.847114608744301,6.38033099061323,32.1017999562007,-80.1246939445188,0.368639725576907,0.822155227382953,56.2517688110277,28.1259255408831,99.9997074914442,1.41398341381177,-0.730942186487553,68.7834297487669,39.7564425899346,73.0120334412952,1.38636132760734,-0.755068483413638,61.672486683847,45.2524119400046,36.2855238867974,1.10506026806723,-1.04888895944695,34.4497607655501,17.2248803827751,100,0.96856634290692,-1.15157635875508,65.0395314660004,41.1701235779889,57.9774987626535,1.63592582093881,0.100201070618373,40.840840840841,35.0922350922352,16.3814180929096,1.3307933453775,0.383687215554522
"55",17,5,8252023,0.863013698630137,2.87323943661972,2,4,29.2911293749117,-53.9208514633426,34.7222800158401,-7.25355471372545,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,74.6997929606625,48.0946180412237,55.3184036031528,1.807127848714,0.420650457980837,72.902155048766,56.8708950290751,28.1888653440306,1.32401880088723,0.104547522837894,2.94089572389547,0.980298574631823,200,0.314801224800676,-0.862910907384269,52.3638578330098,49.9989465367128,4.72992224858288,1.10585540783075,0.338953160450751,38.6994256154721,34.2627010084874,12.9491384987006,0.923025194710187,-0.656957431698523,35.0289127984049,33.0775042369354,5.89950362485465,2.02388384243061,0.876378470813236,24.5929626773556,26.9482712530406,-8.74011009303344,0.61818573988478,-0.804788802335056,46.3579281585885,41.9569377794859,10.4893031093762,0.934365137967235,-0.586521261245174,36.5414045981835,42.3487428260643,-13.7131301671287,0.654756383795985,-1.3373893669182,27.442123094297,20.6306279532824,33.016421780467,0.771544307315608,-0.937761907013999,38.6850454606511,40.341764205543,-4.10670871122753,0.973036910426602,0.0414634455075532,38.2742991438645,36.152923109445,5.86778565040934,1.24716292688831,0.476114947925847
"56",17,9,8292023,0.863013698630137,2.87323943661972,1,4,61.1652229953342,108.818247369195,51.3411153043757,47.8621659665038,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,28.35734870317,38.6148886767681,-26.5636916875778,0.686017357292792,-0.169376789557274,41.8888794883494,57.0758331880315,-26.6083784526631,0.76076851162458,0.116387413376527,3.92295876166841,2.28795149518796,71.461622762511,0.41992383918324,-0.727964897260681,46.2548644613462,45.1501774127427,2.44669481252512,0.976841549111625,-0.281824255114751,50.7039687779632,39.2107554307767,29.3113795460451,1.20934716496535,-0.232812079368043,5.39148848392099,15.6002440909797,-65.4397171449488,0.311506854125238,-0.0948929995496043,45.210009709997,42.0182470661268,7.59613469559345,1.13643011089942,0.140197112622147,71.4822450134781,62.2078676402778,14.9086887639842,1.44075717740747,0.964601409039255,66.5609248748561,54.9249387189622,21.1852510485855,1.19265230640158,-0.0878538664300907,42.4417081477599,34.7778640025357,22.0365579227794,1.19326256943144,-0.0495917015304052,61.1711334180049,54.9652367815521,11.2905847401637,1.53862480861996,1.07839026562877,26.0456421839708,35.0535940562254,-25.6976555893413,0.848693772725913,0.380320058316094
"184",17,10,8302023,0.863013698630137,2.87323943661972,0,NA,NA,NA,45.2281761851229,-11.9065179691018,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,NA,51.5285708319163,NA,NA,0.634382900688025,NA,57.3955172685577,NA,NA,0.134856519079663,NA,3.43192724278194,NA,NA,-0.609909899340971,NA,49.309361147178,NA,NA,0.250667035666855,NA,44.7016971967176,NA,NA,0.237869370587309,NA,20.2102006411629,NA,NA,0.161298144795259,NA,34.9014861936763,NA,NA,-0.306070278115422,NA,58.9200865860333,NA,NA,0.712773381228837,NA,51.5511647365198,NA,NA,-0.42306257322716,NA,34.9419156210284,NA,NA,-0.0392924629229924,NA,49.928089439328,NA,NA,0.721214283733504,NA,32.1599706639176,NA,NA,0.1281714112604
"185",17,13,9022023,0.863013698630137,2.87323943661972,0,NA,NA,NA,61.1652229953342,35.2369875472747,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,NA,28.35734870317,NA,NA,-0.807815698987235,NA,41.8888794883494,NA,NA,-0.761008335346447,NA,3.92295876166841,NA,NA,-0.559236862729334,NA,46.2548644613462,NA,NA,-0.140393563426289,NA,50.7039687779632,NA,NA,0.752381818781585,NA,5.39148848392099,NA,NA,-0.662228668083283,NA,45.210009709997,NA,NA,0.340341477799218,NA,71.4822450134781,NA,NA,1.67497357936592,NA,66.5609248748561,NA,NA,1.06826503540639,NA,42.4417081477599,NA,NA,0.431548077685855,NA,61.1711334180049,NA,NA,1.5184403721811,NA,26.0456421839708,NA,NA,-0.404627590147697
"57",17,18,9072023,0.863013698630137,2.87323943661972,0,2,34.5918971030141,NA,34.5918971030141,-43.4451549279027,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,59.8341625207296,59.8341625207296,0,1.4475004161341,1.15133071796439,77.9517228345456,77.9517228345456,0,1.41572696342721,1.3224500108443,10.3702298543838,10.3702298543838,0,1.11005671948829,0.106102920075626,52.2889861514344,52.2889861514344,0,1.10427421695999,0.632141975430984,49.7691951224819,49.7691951224819,0,1.18705175304028,0.672253374828472,8.86333730506047,8.86333730506047,0,0.512101681972305,-0.469286085480257,33.6605720385847,33.6605720385847,0,0.846115447886935,-0.383883700829366,47.1325752733236,47.1325752733236,0,0.949978503080518,-0.19009261796549,65.0826373603153,65.0826373603153,0,1.16616404745601,0.921386540106375,7.32700135685211,7.32700135685211,0,0.206001050543637,-1.77296990995477,84.7115652164236,84.7115652164236,0,2.13073239837426,3.18765436784041,38.8328627134599,38.8328627134599,0,1.26536364621935,0.709643314865265
"58",17,25,9142023,0.863013698630137,2.87323943661972,0,0,26.9244684422818,-22.1653893046074,30.7581827726479,-11.0826946523037,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,35.0802139037433,47.4571882122364,-26.0802942077842,0.848656053406769,0.380976227521662,43.9508886335364,60.951305734041,-27.8918013252831,0.798217869246488,0.340285056274619,0,5.1851149271919,-100,0,-0.428985986512237,39.7163383134759,46.0026622324552,-13.6651306987712,0.838756526367044,-0.172682468888271,17.368272301032,33.5687337117569,-48.2605675562048,0.414252993874675,-0.716444045720316,8.82880026123397,8.84606878314722,-0.195211255265712,0.510106217101098,-0.470245756648942,12.216620566533,22.9385963025588,-46.7420743388286,0.307085434272122,-1.05622161143563,42.0842261585045,44.6084007159141,-5.65851838868783,0.848226729337782,-0.383432104431916,44.4036564888894,54.7431469246024,-18.8872781646139,0.795633826057951,-0.105916188509403,0,3.66350067842605,-100,0,-2.00296622435985,35.6476729394218,60.1796190779227,-40.7645420731827,0.896638510510598,1.44813369184768,43.9369851134559,41.3849239134579,6.16664465865576,1.43168079307677,0.932028432601547
"59",17,30,9192023,0.863013698630137,2.87323943661972,1,4,69.4848171932986,158.073125351588,43.6670609128648,41.9689233126485,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,43.4848484848484,46.1330749697738,-5.74040747697932,1.05197989953547,0.298562177305379,44.4326408457373,55.4450841046064,-19.8618929643831,0.806967253759145,0.0221741602564477,3.84423875218306,4.73815620218895,-18.866356697842,0.411497442014189,-0.47511083790126,38.6977343951838,43.567686286698,-11.177898820395,0.81724495907433,-0.484427168609843,38.6641020284344,35.2671898173161,9.63193333155913,0.92218268709451,-0.570853031186379,28.177601272937,15.2899129464105,84.2888273575952,1.62803202779808,-0.112139168832888,59.3081399729246,35.0617775260141,69.1532607806918,1.49081047579969,-0.29601896461448,66.0096535832891,51.7421516717057,27.5742338704969,1.33045460674007,0.162978500303592,78.7212143330421,62.7358360607489,25.4804578627342,1.41054286750908,0.688214954567078,41.8388429752066,16.3886147773529,155.292125317527,1.17631281702474,-1.20407751106644,67.9092095451158,62.7561492336537,8.21124363809544,1.70810623739616,1.63083128350669,58.3538083538084,47.0412187269081,24.0482494566609,1.90145105330508,1.42491464866926
"186",17,37,9262023,0.863013698630137,2.87323943661972,0,NA,NA,NA,48.2046428177902,10.3913151241845,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,NA,39.2825311942958,NA,NA,-0.127822093024125,NA,44.1917647396369,NA,NA,-0.627963765037477,NA,1.92211937609153,NA,NA,-0.765717716889704,NA,39.2070363543299,NA,NA,-1.04271174063026,NA,28.0161871647332,NA,NA,-1.19240623419381,NA,18.5032007670855,NA,NA,0.0664342894907967,NA,35.7623802697288,NA,NA,-0.252086596507037,NA,54.0469398708968,NA,NA,0.339514059438132,NA,61.5624354109657,NA,NA,0.571629161797429,NA,20.9194214876033,NA,NA,-0.91963131162228,NA,51.7784412422688,NA,NA,0.852419741339839,NA,51.1453967336321,NA,NA,1.78255031557125
