"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","sallee__joy","movavg_sallee__joy","%change_sallee__joy","Peer Comparison_sallee__joy","Peer Deviation_sallee__joy","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","personality__melancholy","movavg_personality__melancholy","%change_personality__melancholy","Peer Comparison_personality__melancholy","Peer Deviation_personality__melancholy","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus"
"146",34,2,8222023,0.287671232876712,0.957746478873239,1,8,57.1844539597251,NA,57.1844539597251,NA,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,78.6056644880175,78.6056644880175,0,1.9016181937448,2.31968660789555,59.5805928119634,59.5805928119634,0,1.08207809492432,0.261094870123219,1.73315092165899,1.73315092165899,0,0.18552103988916,-0.785218716401139,51.0979220030649,51.0979220030649,0,1.0791205177473,0.479652610626549,65.3250430347534,65.3250430347534,0,1.55807636954947,2.00569477026426,38.1110842207165,38.1110842207165,0,2.20196407509777,1.15611182668294,41.8525909382515,41.8525909382515,0,1.05203570772222,0.129809391400157,56.3317525919757,56.3317525919757,0,1.13539210817354,0.514519594165768,39.7180206897934,39.7180206897934,0,0.711675642585342,-1.5987705293289,48.1283422459893,48.1283422459893,0,1.35314415553173,0.788557670086131,35.6476729394218,35.6476729394218,0,0.896638510510598,-0.291386984145058,2.68503797915564,2.68503797915564,0,0.0874916040213584,-2.44025695377055
"147",34,18,9072023,0.287671232876712,0.957746478873239,2,9,87.7491692215498,53.4493435634646,72.4668115906374,26.7246717817323,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,28.3982683982683,53.5019664431429,-46.9210754553341,0.687007281329287,0.757208894556755,56.6422677190799,58.1114302655216,-2.52818170148089,1.02871344934568,0.176216954649098,0,0.866575460829495,-100,0,-0.87464680475062,41.0240783833304,46.0610001931976,-10.9353287786641,0.866374266696595,-0.165213586049519,71.4771973758632,68.4011202053083,4.49711519536807,1.7048122285003,2.26937494108524,0,19.0555421103582,-100,0,0.0971297980626517,74.1460073271284,57.99929913269,27.8394884695042,1.86378538447617,1.14231345948357,76.2755509422731,66.3036517671244,15.0397435275098,1.53736843967433,1.27831853982854,59.35811851882,49.5380696043067,19.8232369427241,1.06359094451033,-0.623078051276495,57.3789846517119,52.7536634488506,8.76777251184833,1.61322900620536,1.07893753431338,56.2879998450469,45.9678363922343,22.450835764278,1.41580036448523,0.440399136876036,8.002808002808,5.34392299098182,49.7553017944533,0.260770430167554,-2.20856327165875
"148",34,25,9142023,0.287671232876712,0.957746478873239,2,8,94.1082747675663,7.24691253766856,79.6806326496137,9.95465496636848,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,46.3838383838384,51.1292570900414,-9.28121974830586,1.12211189283784,0.609529238841309,51.3728721523905,55.8652442278113,-8.04144354422126,0.933012865529719,0.0464480675305941,1.59517537319615,1.10944209828505,43.7817598288311,0.170751773744927,-0.849583668193849,40.5208266711832,44.2142756858595,-8.35352147554806,0.855746256263276,-0.401645727406707,66.3040111015266,67.7020838373811,-2.06503649018044,1.58142586831017,2.209453808199,0,12.7036947402388,-100,0,-0.255864211477444,67.2185254262845,61.0723745638881,10.06371687082,1.68965140230432,1.33501536120538,95.6555386454048,76.0876140598845,25.7176214910871,1.92798091101026,2.02772243494997,80.5714082743862,59.8825158276665,34.5491370240011,1.44369502210403,0.404717070480294,53.5537190082644,53.0203486353219,1.00597296447652,1.50568040579167,1.09568015711567,87.6777619596413,59.8711449147033,46.4441043921128,2.20534052873496,1.42626028718992,0,3.56261532732121,-100,0,-2.36378537781671
"149",34,37,9262023,0.287671232876712,0.957746478873239,1,8,64.9319205776719,-31.0029636203147,82.2631215222627,3.24104965883633,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,51.7554240631163,42.1791769484077,22.7037315745208,1.25206060739302,0.0524678557374763,52.3472352311907,53.4541250342204,-2.07072850284437,0.950708844947048,-0.092849501419346,3.30053820575229,1.63190452631615,102.250692520776,0.353298303380844,-0.795667052405391,43.8157137523773,41.7868729356303,4.85521091724735,0.925329912772121,-0.712420847297358,68.1785706974043,68.6532597249314,-0.691429699666074,1.62613624084059,2.29098824527713,21.1683244980812,7.05610816602707,200,1.22305337221158,-0.569720025840052,41.135263351689,60.8332653683673,-32.380313464023,1.03400446477453,1.32002165287389,61.1233162122365,77.6848019333048,-21.318823384897,1.23196825341903,2.15005925287368,52.0582807773443,63.9959358568502,-18.6537706178853,0.932790954349478,0.813414930998385,52.2861753630984,54.4062930076916,-3.89682429621411,1.47004299973743,1.18269040376108,57.831875002758,67.2658789358154,-14.0249470939929,1.45463313553811,1.95060893244491,2.43083320006398,3.47788040095733,-30.1059001512857,0.0792083752382712,-2.37116912965457
"150",34,65,10242023,0.287671232876712,0.957746478873239,1,9,94.8215105977342,46.0321976527835,84.6205686476575,2.86573993518689,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,33.7448559670781,43.9613728046776,-23.2397584192649,0.816351244789432,0.163393397514181,42.8808212640402,48.8669762158738,-12.249898429134,0.778783748067475,-0.357862811630539,8.61766496008018,4.50445951300954,91.3140729801455,0.922457556829559,-0.499227662242112,36.7298144112876,40.355451611616,-8.98425629137259,0.775685092280139,-0.895682621035798,45.8143151423024,60.0989656470778,-23.7685463484677,1.0927233797969,1.55771739456748,0,7.05610816602707,-100,0,-0.569720025840052,50.0731391720682,52.8089759833472,-5.18062840707562,1.25867310065657,0.816846296759524,77.3004351754709,78.0264300110374,-0.930447331069502,1.55802544778471,2.17622630099539,58.0216871235674,63.5504587250993,-8.69981383682492,1.03964449261093,0.76915357442293,81.8181818181818,62.5526920631815,30.7988179558141,2.30034506440394,1.69412520967483,35.4799716445251,60.3298695356415,-41.1900408245299,0.892420354685324,1.45878770911575,5.07173840507173,2.5008572017119,102.8,0.165261918707009,-2.456306358807
"214",34,123,12212023,0.287671232876712,0.957746478873239,2,NA,NA,NA,79.876715587703,-5.60602834011532,51.105087548474,1.1954373045694,"Activating",0.515363876423475,"Activating",0.410321964027904,NA,42.7501400150972,NA,NA,0.0880051325660636,NA,47.6140282476155,NA,NA,-0.430249364092602,NA,5.95910158291623,NA,NA,-0.349112795823015,NA,40.2727640818324,NA,NA,-0.906268926493155,NA,56.9964429198534,NA,NA,1.29177032063795,NA,10.5841622490406,NA,NA,-0.373653923481261,NA,45.6042012618786,NA,NA,0.365059862814791,NA,69.2118756938537,NA,NA,1.50107433889668,NA,55.0399839504558,NA,NA,-0.0764232953625414,NA,67.0521785906401,NA,NA,1.97660511315212,NA,46.6559233236415,NA,NA,0.489190269764785,NA,3.75128580256786,NA,NA,-2.34734474314419
