"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","sallee__joy","movavg_sallee__joy","%change_sallee__joy","Peer Comparison_sallee__joy","Peer Deviation_sallee__joy","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","personality__melancholy","movavg_personality__melancholy","%change_personality__melancholy","Peer Comparison_personality__melancholy","Peer Deviation_personality__melancholy","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus"
"197",23,1,8212023,0.191780821917808,0.63849765258216,0,NA,NA,NA,NA,NA,51.105087548474,0.195151563316786,"Blocking",-1,"Blocking",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",23,2,8222023,0.191780821917808,0.63849765258216,0,3,61.0887962486531,NA,61.0887962486531,NA,51.105087548474,0.195151563316786,"Blocking",-1,"Blocking",-1,20.5,20.5,0,0.495933381209581,-1.29686445238957,43.6037153370622,43.6037153370622,0,0.791912651363829,-0.661937138240615,3.50115711278904,3.50115711278904,0,0.3747730796336,-0.602765576415542,36.1453792973193,36.1453792973193,0,0.763342595793935,-1.43468906654647,36.1716512991905,36.1716512991905,0,0.862734910206935,-0.493322935282246,0,0,NA,0,-0.961852230557634,50.5988151465915,50.5988151465915,0,1.27188685596998,0.678254776346428,57.6108761393942,57.6108761393942,0,1.16117342535779,0.612494232670485,68.4205361469304,68.4205361469304,0,1.22597320266046,1.25303078821061,18.4090909090909,18.4090909090909,0,0.517577639490887,-1.0772310588794,62.1360924683074,62.1360924683074,0,1.56289622311138,1.58686405980909,64.1891891891894,64.1891891891894,0,2.0915961586356,2.91917874789843
"198",23,11,8312023,0.191780821917808,0.63849765258216,1,NA,NA,NA,61.0887962486531,0,51.105087548474,0.195151563316786,"Blocking",-1,"Blocking",-1,NA,20.5,NA,NA,-1.29686445238957,NA,43.6037153370622,NA,NA,-0.661937138240615,NA,3.50115711278904,NA,NA,-0.602765576415542,NA,36.1453792973193,NA,NA,-1.43468906654647,NA,36.1716512991905,NA,NA,-0.493322935282246,NA,0,NA,NA,-0.961852230557634,NA,50.5988151465915,NA,NA,0.678254776346428,NA,57.6108761393942,NA,NA,0.612494232670485,NA,68.4205361469304,NA,NA,1.25303078821061,NA,18.4090909090909,NA,NA,-1.0772310588794,NA,62.1360924683074,NA,NA,1.58686405980909,NA,64.1891891891894,NA,NA,2.91917874789843
"106",23,54,10132023,0.191780821917808,0.63849765258216,1,4,57.0468647293703,NA,59.0678304890117,-3.30824289189682,51.105087548474,0.195151563316786,"Blocking",-1,"Blocking",-1,28.1786941580756,24.3393470790378,15.7742402315485,0.681695369360249,-1.05789988891986,79.0481439487369,61.3259296428995,28.8984030230502,1.43563971042224,0.361928200219237,32.3189006398568,17.9100288763229,80.451415589745,3.45950025462375,0.884188434320261,49.1556220143784,42.6505006558489,15.2521570872521,1.03810171136049,-0.601852459638381,34.8773012864167,35.5244762928036,-1.82177212424662,0.83186319432064,-0.54879853188582,5.84918318975026,2.92459159487513,100,0.337951320878316,-0.799322614654281,42.7299584526112,46.6643867996013,-8.43132979307414,1.07408982511877,0.431540420767601,63.1941465875788,60.4025113634865,4.62172045677534,1.27370678199918,0.826319904529524,66.512122213885,67.4663291804077,-1.41434546404788,1.19177785031079,1.15822346414877,53.1396438612933,35.7743673851921,48.5411140583554,1.494038546984,0.012969254620869,31.3064569447327,46.72127470652,-32.9931446832639,0.787444806621495,0.49382423076731,23.2933964892728,43.7412928392311,-46.7473524962179,0.759012214267761,1.13736104021637
