"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","sallee__joy","movavg_sallee__joy","%change_sallee__joy","Peer Comparison_sallee__joy","Peer Deviation_sallee__joy","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","personality__melancholy","movavg_personality__melancholy","%change_personality__melancholy","Peer Comparison_personality__melancholy","Peer Deviation_personality__melancholy","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus"
"183",16,2,8222023,0.191780821917808,0.63849765258216,1,NA,NA,NA,NA,NA,51.105087548474,1.30902749697806,"Blocking",-0.999930711671867,"Blocking",-0.999930939712605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",16,16,9052023,0.191780821917808,0.63849765258216,1,5,68.4751383865577,NA,68.4751383865577,NA,51.105087548474,1.30902749697806,"Blocking",-0.999930711671867,"Blocking",-0.999930939712605,56.4632237871675,56.4632237871675,0,1.36595109691528,0.941520329279575,47.825084700831,47.825084700831,0,0.868579416555894,-0.418056001391052,8.72450218626042,8.72450218626042,0,0.93389369493625,-0.0637314289875772,29.9087496308803,29.9087496308803,0,0.631633227373002,-2.23315126327842,45.3342291260891,45.3342291260891,0,1.08127278378558,0.292089768171255,0,0,NA,0,-0.961852230557634,44.1192943514202,44.1192943514202,0,1.10901313435246,0.271946500669424,71.0068776204832,71.0068776204832,0,1.43117593127798,1.63856275057647,61.7288950092342,61.7288950092342,0,1.10607100401328,0.588168119937456,48.3994878361076,48.3994878361076,0,1.36076750288684,0.805580319150084,72.3813424919391,72.3813424919391,0,1.82059286818015,2.31333819056924,40.5024743052913,40.5024743052913,0,1.31976771699823,0.855132290765835
"51",16,23,9122023,0.191780821917808,0.63849765258216,1,5,31.3128336896651,-54.2712370833089,49.8939860381114,-27.1356185416545,51.105087548474,1.30902749697806,"Blocking",-0.999930711671867,"Blocking",-0.999930939712605,41.7834394904458,49.1233316388066,-14.9417637271216,1.01081963049086,0.484678557217799,35.7128311792361,41.7689579400335,-14.4991090500559,0.648601675527844,-0.767936561951551,0,4.36225109313021,-100,0,-0.513903161043839,54.8999530528147,42.4043513418475,29.4677345969344,1.15941438399593,-0.633366423508838,34.1409477558037,39.7375884409464,-14.0839968018185,0.81430032742636,-0.187652153132966,42.2183674141887,21.1091837070943,100,2.43927272750715,0.211257726387946,12.1462006227943,28.1327474871073,-56.8254020395246,0.305315309802212,-0.730514405900886,39.5310600723363,55.2689688464097,-28.4751264634744,0.796766505011215,0.433115531602259,45.8209531651643,53.7749240871993,-14.7912266861356,0.82102923865164,-0.202116090134801,18.7608569774175,33.5801724067625,-44.1311475409836,0.527467658079885,-0.124783349356196,51.913630383258,62.1474864375985,-16.4670474076473,1.30577275832685,1.58767198776766,26.1662936822173,33.3343839937543,-21.5035931453842,0.852625185685847,0.230509100743312
"52",16,93,11212023,0.191780821917808,0.63849765258216,1,5,41.7187723537499,33.2321845005018,47.1689148099909,-5.4617228337679,51.105087548474,1.30902749697806,"Blocking",-0.999930711671867,"Blocking",-0.999930939712605,30.4354032833689,42.8940221869941,-29.0451169380025,0.736289388234065,0.096960493905009,55.0415025286235,46.1931394695635,19.1551454624341,0.999641013742749,-0.512338359550396,5.83243594960777,4.85231271195606,20.1990946551464,0.624319307070162,-0.463330215321261,45.2056617265198,43.3381214700716,4.30923213351064,0.954683775291393,-0.513817855179272,41.9864197897158,40.4871988905362,3.70295041460632,1.00142373395051,-0.123395829107983,17.7957817356248,20.0047163832712,-11.042069306684,1.02819620253224,0.149878677691593,19.9257682634612,25.3970877458919,-21.543097921988,0.500867909178843,-0.902058139986984,35.0663754578592,48.5347710502262,-27.7499930481371,0.706778754878917,-0.0826912456491627,40.2037770553523,49.2512084099169,-18.3699682640536,0.720379524792843,-0.651579773828769,22.0751411329569,29.7451619821607,-25.785776032431,0.620649846070441,-0.365547127170602,31.7499644708877,52.0149791153616,-38.9599592062299,0.798600259274116,0.869192259858233,43.9840268534057,36.8842649469714,19.2487553070167,1.43321364189162,0.539843647160771
