"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","sallee__joy","movavg_sallee__joy","%change_sallee__joy","Peer Comparison_sallee__joy","Peer Deviation_sallee__joy","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","personality__melancholy","movavg_personality__melancholy","%change_personality__melancholy","Peer Comparison_personality__melancholy","Peer Deviation_personality__melancholy","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus"
"176",11,2,8222023,0.191780821917808,0.63849765258216,1,NA,NA,NA,NA,NA,51.105087548474,0.278954972409805,"Aware",1,"Aware",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",11,9,8292023,0.191780821917808,0.63849765258216,1,4,60.8608555181512,NA,60.8608555181512,NA,51.105087548474,0.278954972409805,"Aware",1,"Aware",1,36.4444444444444,36.4444444444444,0,0.881659344372588,-0.304467274432782,49.0601313462115,49.0601313462115,0,0.891009823138013,-0.346703661905478,0,0,NA,0,-0.9640748931001,41.7931068617727,41.7931068617727,0,0.8826151308509,-0.711622731226957,43.8902905142411,43.8902905142411,0,1.04683321014453,0.168315896868019,6.09413282453635,6.09413282453635,0,0.352103904228702,-0.623180304887205,90.6635152170562,90.6635152170562,0,2.2789809007687,3.19057315848328,62.8419582171037,62.8419582171037,0,1.26660826512319,1.01316966123752,60.9780473401945,60.9780473401945,0,1.09261716144844,0.513566004487451,84.1558441558441,84.1558441558441,0,2.3660692091012,3.05038136928321,45.0916515748732,45.0916515748732,0,1.13418094284201,0.378270286715281,23.4749034749035,23.4749034749035,0,0.764926595158159,-0.628640255081279
"39",11,24,9132023,0.191780821917808,0.63849765258216,1,4,55.0832082562967,-9.49320743631572,57.9720318872239,-4.74660371815786,51.105087548474,0.278954972409805,"Aware",1,"Aware",1,26.031746031746,31.2380952380952,-16.6666666666667,0.629756674551848,-0.628515332541122,77.6507205448487,63.3554259455301,22.5636468952304,1.41026028428168,0.479178273090291,0,0,NA,0,-0.9640748931001,40.4008074180308,41.0969571399017,-1.6939203540085,0.853211608404334,-0.800749273271066,59.5235968962589,51.70694370525,15.1172214617188,1.41970529901235,0.838356449940931,26.7334536496049,16.4137932370706,62.8718801527686,1.54459275413957,-0.0496812747862691,77.5330807603899,84.098297988723,-7.80659940253904,1.94892520776036,2.7788911567098,48.9403184765865,55.8911383468451,-12.4363540909182,0.986414389985294,0.480770687366403,78.1125620751532,69.5453047076738,12.3189587039569,1.3996369114916,1.36478463320881,70.1298701298701,77.1428571428571,-9.09090909090908,1.97172434091767,2.6101027102792,52.7891410106173,48.9403962927452,7.86414702253356,1.32779429522172,0.651178558059031,31.7889317889319,27.6319176319177,15.0442477876107,1.03583809761001,-0.266400476999265
"177",11,65,10242023,0.191780821917808,0.63849765258216,1,NA,NA,NA,57.9720318872239,0,51.105087548474,0.278954972409805,"Aware",1,"Aware",1,NA,31.2380952380952,NA,NA,-0.628515332541122,NA,63.3554259455301,NA,NA,0.479178273090291,NA,0,NA,NA,-0.9640748931001,NA,41.0969571399017,NA,NA,-0.800749273271066,NA,51.70694370525,NA,NA,0.838356449940931,NA,16.4137932370706,NA,NA,-0.0496812747862691,NA,84.098297988723,NA,NA,2.7788911567098,NA,55.8911383468451,NA,NA,0.480770687366403,NA,69.5453047076738,NA,NA,1.36478463320881,NA,77.1428571428571,NA,NA,2.6101027102792,NA,48.9403962927452,NA,NA,0.651178558059031,NA,27.6319176319177,NA,NA,-0.266400476999265
